payment_date;amount
18/05/2005;25,65625
18/04/2005;27966,54
10/03/2005;23602,9
14/02/2005;33967,73
06/02/2005;39580,6
02/02/2005;12692,19
27/01/2005;45785,34
03/01/2005;31835,36
17/12/2004;14191,12
13/12/2004;13671,82
12/12/2004;36005,71
29/11/2004;48927,64
16/11/2004;44400,5
14/11/2004;101,4340278
06/11/2004;61234,67
21/10/2004;34341,08
30/09/2004;48809,9
18/09/2004;61402
20/08/2004;33347,88
02/08/2004;35806,73
21/06/2004;59551,38
21/06/2004;22037,91
15/06/2004;37258,94
30/05/2004;31102,85
22/05/2004;28394,54
12/05/2004;32239,47
25/04/2004;22602,36
16/04/2004;7178,66
18/03/2004;40978,53
13/03/2004;47375,92
29/02/2004;12573,28
13/02/2004;36070,47
16/01/2004;49614,72
10/12/2003;39712,1
09/12/2003;319,9340278
07/12/2003;27988,47
05/12/2003;38139,18
04/12/2003;3879,96
23/11/2003;37455,77
18/11/2003;50743,65
27/10/2003;37602,48
20/10/2003;23908,24
28/09/2003;29997,09
05/09/2003;50342,74
16/08/2003;29716,86
05/08/2003;38675,13
03/08/2003;24013,52
07/07/2003;29429,14
06/06/2003;32641,98
09/04/2003;7674,94
30/01/2003;5494,78
